"","id","prediction"
"1","baseball",0.598718609588118
"2","cake",0.5333
"3","flower",0.588450980258683
"4","hedgehog",0.500933196484924
"5","horse",0.5667
"6","house",0.6667
"7","mouse",0.622803396646098
"8","panda",0.369298107454861
"9","railroad",0.431696373111754
"10","rainbow",0.527385227828703
"11","shark",0.3667
"12","spoon",0.632059868189617
"13","sundial",0.348105033550761
"14","tadpole",0.450608281674314
"15","wheel",0.315220127384115
"16","zebra",0.375201468775098
