"","cost_istarget","cost_looksliketarget","cost_nottarget","cost_iscompetitor","cost_notcompetitor","cost_lookslikecompetitor","alpha"
"1",1.17577612475895,2.62250958817361,4.94606948685001,3.24476987561516,1.36122277209702,3.21813865330584,2.25
"2",1.08389383903982,2.55418140344955,4.97352449070643,3.24476987561516,1.35326256071671,3.28815155173793,2.25
"3",1.08389383903982,2.66124206176906,4.97301584834578,3.29533343017403,1.35326256071671,3.09922220169958,2.25
"4",0.998269720447289,2.66124206176906,4.94782458569195,3.25777026646493,1.43496260955048,3.08932479649447,2.25
"5",1.02691747492374,2.67554642621291,4.94595608440178,3.32722443238917,1.43496260955048,3.12199711662398,2.25
"6",1.02691747492374,2.70627363266512,4.95070251000652,3.41645406877842,1.39737484427001,3.05515135712647,2.25
"7",0.954946729164351,2.66571336775018,4.97026244981179,3.47050869056569,1.39737484427001,3.04736844191693,2.25
"8",1.09986871080612,2.55693801378514,4.97026244981179,3.46835215609328,1.49945119574226,3.04045529593951,2.25
"9",1.04521466383602,2.575115517049,4.98734169840907,3.57878076306895,1.63873236766401,3.07817706003945,2.25
"10",1.07471020844471,2.59006393379314,4.98559738102488,3.6046187593039,1.55072275147022,3.12899943420491,2.25
"11",1.09354937465089,2.59006393379314,4.98559738102488,3.67873337309237,1.50715348335449,3.1528866377222,2.25
"12",1.08291849166019,2.68783644406594,4.96114872832737,3.76869941633711,1.4100365247444,3.04945019111122,2.25
"13",1.04822206449167,2.61631172084921,4.96114872832737,3.75662434336342,1.4096691504414,2.9558497066058,2.25
"14",0.850813511980236,2.60145815305776,4.9921754046944,3.79202558849263,1.4096691504414,2.9558497066058,2.25
"15",0.850813511980236,2.60145815305776,4.95371136347789,3.71496982822813,1.40841081009712,3.12246289629216,2.25
"16",0.923783985800395,2.53202584699516,4.88354172796021,3.65480887119714,1.32279664226705,3.07543839937433,2.25
"17",1.19025639333271,2.45167527732484,4.8180846770497,3.61269377090308,1.32279664226705,2.98519262832147,2.25
"18",1.4108005015079,2.45167527732484,4.81734007663148,3.6510843489145,1.39468581617765,2.98519262832147,2.25
"19",1.37448376168319,2.45167527732484,4.97314936557799,3.54397096290081,1.34600925824835,3.07121332698375,2.25
"20",1.2188390754877,2.4497978244985,4.96904375282358,3.38417966537154,1.24691241163058,3.0338922758315,2.25
"21",1.25694500332,2.46218573875516,4.96904375282358,3.44278194985748,1.07689015469539,3.0338922758315,2.25
"22",1.16857809043068,2.53982044127969,4.99530463886881,3.51654073477957,1.13201974109781,3.03716296917696,2.25
"23",1.16701540524537,2.65890436598586,4.95769042879664,3.50211784656357,1.21019637026516,3.03956410930643,2.25
"24",1.17415463967225,2.61884892426112,4.88012475920654,3.4469641679201,1.09788541292769,3.0264570735797,2.25
"25",1.17415463967225,2.41320561016117,4.82620055603198,3.41495186031353,1.11359509422603,3.08183750373655,2.25
"26",1.1951110307084,2.41320561016117,4.64863171886299,3.41495186031353,1.19032918174757,3.14602303889612,2.25
"27",1.1951110307084,2.41790661689065,4.54368444751183,3.51011704372416,1.2560445271575,2.9316552971416,2.25
"28",1.28322593999315,2.42678319222302,4.57868219762482,3.49404351143596,1.21765117466121,2.954336601162,2.25
"29",1.313902500069,2.44330484365476,4.67621776697203,3.47725873532239,1.26168231446058,2.88384688594463,2.25
"30",1.38080136525657,2.44577553128808,4.64045512712497,3.56937479470622,1.39257250085493,2.97159127737158,2.25
"31",1.42144846249788,2.52396191481802,4.61852780033657,3.59822539290242,1.39257250085493,2.95022464775919,2.25
"32",1.42712655239154,2.62650152925913,4.54045069066581,3.72305177918243,1.39257250085493,3.02257467579617,2.25
"33",1.47570787071487,2.62650152925913,4.54045069066581,3.75734891180516,1.40199997951371,2.86063715241393,2.25
"34",1.53421414753637,2.62650152925913,4.49905241082278,3.78414844384154,1.50173784942539,2.73690426382292,2.25
"35",1.52899313627512,2.53284071513825,4.57547649140073,3.75775863198061,1.50707618289926,2.62908583550506,2.25
"36",1.44390085521393,2.50540784825701,4.63647701976694,3.75775863198061,1.52465659169367,2.49959056052904,2.25
"37",1.43984723647877,2.50540784825701,4.55470790487809,3.67325346307313,1.6002488725228,2.4553005598128,2.25
"38",1.4620562983842,2.51897037262749,4.64745435102579,3.66442321713616,1.64693288046705,2.38401113553494,2.25
"39",1.36207536768102,2.52043783884684,4.82758258322302,3.66442321713616,1.73932215166637,2.50451306213107,2.25
"40",1.33272275800291,2.52043783884684,4.82758258322302,3.6363080994236,1.7455202453006,2.37227164894375,2.25
"41",1.33581990675771,2.42354717507826,4.82758258322302,3.66458362140126,1.72480549369823,2.38589283809045,2.25
"42",1.27619340029061,2.42354717507826,4.79105462977359,3.63312688900122,1.66389402343164,2.29588464046906,2.25
"43",1.29843733939754,2.4624657184376,4.77666858234381,3.55474788686777,1.56813560517495,2.3339898071131,2.25
"44",1.13725240502116,2.50927184036371,4.77666858234381,3.54055576628178,1.52017497572991,2.12220977780348,2.25
"45",1.16574270483779,2.5411660084608,4.71662318804398,3.63197898240473,1.5375378118421,2.00762090951674,2.25
"46",1.28459910399567,2.57178182497143,4.70114586409222,3.63197898240473,1.59225737618305,2.00762090951674,2.25
"47",1.26923602076148,2.56012393123759,4.70114586409222,3.68561357252957,1.64479123351077,1.986040943231,2.25
"48",1.35829787999255,2.56967926619093,4.80270012299329,3.60002595266725,1.50969157239784,1.97656369220132,2.25
"49",1.3886709670151,2.58207503788383,4.80270012299329,3.5915990980645,1.64274529122302,1.97656369220132,2.25
"50",1.33882384760804,2.58207503788383,4.77394913344624,3.43540656493237,1.7194335828333,2.11032742166537,2.25
"51",1.16570053969382,2.56042472018704,4.7977978856827,3.44728141573943,1.77574533925301,2.18625732451255,2.25
"52",1.3141883235238,2.58168191771785,4.74498925457325,3.31415671777241,1.74708428323067,2.18625732451255,2.25
"53",1.33908506434019,2.58059680326724,4.74498925457325,3.21768233240175,1.71471457108713,2.18103327510627,2.25
"54",1.14313411643103,2.61808938638814,4.74498925457325,3.19783278777964,1.66026590151167,2.18103327510627,2.25
"55",1.14313411643103,2.62643948685158,4.67355350961261,3.07924971823351,1.64958196314408,2.18103327510627,2.25
"56",1.14750549359864,2.64161209050471,4.62186369415897,3.07924971823351,1.77581968345272,2.11759061105648,2.25
"57",1.21347707222587,2.58142026648821,4.65384451282097,3.14122770796917,1.69121866846701,2.14437227272853,2.25
"58",1.11897212064661,2.76577275241061,4.66734597742008,3.14122770796917,1.90053745628003,2.18211471160028,2.25
"59",1.00762733872735,2.76577275241061,4.69549646435253,3.07018822518376,1.82957011828836,2.34521532724438,2.25
"60",1.12731967050153,2.76577275241061,4.72861957171441,3.07293294699001,1.69798489767833,2.40884520146739,2.25
"61",1.15101277556006,2.69552271683542,4.66610207969023,3.06452525502728,1.69798489767833,2.3191647541862,2.25
"62",1.04909511767839,2.7298110669954,4.63782654764234,3.1540767400299,1.53224237516143,2.29900099758101,2.25
"63",1.00361256102965,2.59950895153772,4.63782654764234,3.20469289726259,1.60597000151659,2.25493745691418,2.25
"64",1.00351840360292,2.41398652684754,4.52131358853229,3.21063340241794,1.51318739132478,2.32250477343424,2.25
"65",0.977887917199668,2.38107524240136,4.46447031961554,3.137082695777,1.51318739132478,2.31071832006773,2.25
"66",1.09169308919894,2.35535362363372,4.37096776453757,3.137082695777,1.51318739132478,2.42061095559009,2.25
"67",0.863164349233531,2.35535362363372,4.32576364480436,2.97505455459014,1.52721046542413,2.42061095559009,2.25
"68",0.931239369764494,2.22498638022694,4.28590749709559,3.01117869866411,1.54232227341949,2.42061095559009,2.25
"69",0.886750540224569,2.18059466671682,4.18873135275398,3.01465636578135,1.54232227341949,2.4415725442288,2.25
"70",0.732998363078037,2.17222886204576,4.15750168018436,3.04032690552079,1.468706628433,2.53734110260549,2.25
"71",0.699776705005256,2.26218180630946,4.0316718485396,3.04032690552079,1.51841649423827,2.46934744913876,2.25
"72",0.654746799270356,2.35919313730948,4.19614220127896,3.09240837673341,1.51841649423827,2.56585406515554,2.25
"73",0.568812487182936,2.49052111491875,4.10968345488642,3.09240837673341,1.48581210470411,2.72465335028377,2.25
"74",0.568812487182936,2.56722832745179,4.01338246447748,2.90437208451726,1.59000008075278,2.704913862506,2.25
"75",0.602893710583229,2.56722832745179,3.91609248121024,2.93032025141633,1.6110679114375,2.7258832751441,2.25
"76",0.648992864675075,2.63169730330249,3.84067916476346,2.93032025141633,1.6110679114375,2.81631892219055,2.25
"77",0.648992864675075,2.472449751912,3.84067916476346,2.91691081434052,1.66128427299069,2.81893345926774,2.25
