"","cost_istarget","cost_looksliketarget","cost_nottarget","cost_iscompetitor","cost_notcompetitor","cost_lookslikecompetitor","alpha"
"1",2.64329018424929,4.63414243080727,4.22365324465524,3.8835518350136,2.78905929031067,3.17791602012893,2.25
"2",2.58694453132172,4.58556892454456,4.17812600046295,3.8835518350136,2.77533967816553,3.29748701284921,2.25
"3",2.67021069048731,4.6445645746388,4.16241067105003,3.88557617789714,2.97176084848648,3.30901231927846,2.25
"4",2.57313669512917,4.60237667582893,4.24514769650279,3.79728245228053,2.86915954898536,3.2889316150086,2.25
"5",2.47783378868137,4.53515716086235,4.18589641908927,3.76078732813869,2.85575917807132,3.22938110148354,2.25
"6",2.69813846839188,4.5494098802281,4.17378125890349,3.95160035745659,2.85575917807132,3.22938110148354,2.25
"7",2.77167195617684,4.5494098802281,4.12752540221588,3.9257976042713,2.91228531061006,3.31170306348009,2.25
"8",2.79989137851153,4.58408123972564,4.04290932650692,3.8888629655166,2.9662459399816,3.34795147293048,2.25
"9",2.75318922052721,4.44402968150957,4.14779684046543,3.87085800460429,3.03856950766814,3.39073514662888,2.25
"10",2.8342239669754,4.60056956719174,4.06353231668881,3.98363113097824,3.03856950766814,3.28390481086839,2.25
"11",2.78017428452604,4.60056956719174,4.06353231668881,4.05015370253338,3.06093178233665,3.36626639412549,2.25
"12",2.90051164683701,4.60056956719174,4.05775640662956,4.06699445234776,2.9904291550369,3.35822722396249,2.25
"13",2.94964088767946,4.64843448296934,4.07750705791254,3.91202555951519,2.91681424477768,3.42524951510886,2.25
"14",2.93329792928262,4.5931022396562,4.07750705791254,3.78648058390764,2.91681424477768,3.42488071562005,2.25
"15",2.99732333076041,4.49257275528779,4.17250855923036,3.76176466207534,2.83026540632905,3.4786583964286,2.25
"16",2.73593297167066,4.63328225196605,4.2021417476394,3.76176466207534,2.83026540632905,3.60025143338824,2.25
"17",2.69516273901817,4.63328225196605,4.30936421090642,3.69608338694193,2.83026540632905,3.64281647597341,2.25
"18",2.78397302294121,4.75524309689394,4.38742545538698,3.82421452849291,2.92894689732383,3.65741751377572,2.25
"19",2.8170129831934,4.81488220626132,4.26468975156457,3.72879418904926,2.92894689732383,3.48543739100249,2.25
"20",2.74181598322889,4.69351795877361,4.24649679283617,3.85284509846487,3.01449323257508,3.51472089059371,2.25
"21",2.72679736789873,4.53444273535274,4.30387852945963,3.85120956830591,2.88492655670598,3.49949306948755,2.25
