"","cost_istarget","cost_looksliketarget","cost_nottarget","cost_iscompetitor","cost_notcompetitor","cost_lookslikecompetitor","alpha"
"1",2.13554780921788,0.742897887310851,3.61073120595692,4.34389192100711,1.40126259728394,1.74085022252571,1.4886
"2",2.03702614987776,0.759442395395426,3.70069825505033,4.34240464107661,1.38626338692981,1.74085022252571,1.4886
"3",2.02480699304798,0.772362572479709,3.70069825505033,4.48211429358695,1.37925505989898,1.81476290228374,1.9481
"4",2.02480699304798,0.801718742054469,3.440559782888,4.57191810942612,1.37355075594192,1.81476290228374,1.6227
"5",2.00962667609943,0.801718742054469,3.44280986636389,4.63230822517753,1.44946667400801,1.8563073991821,2.3449
"6",2.16822112260095,0.713973592846761,3.42441996029816,4.58450763630315,1.54727889975212,1.82132206773641,2.3449
"7",2.17406843202822,0.684239904606517,3.38503373025599,4.58450763630315,1.54727889975212,1.83840237403129,2.187
"8",2.17406843202822,0.697623246021222,3.42144193722713,4.47966535292139,1.553885270099,1.83840237403129,2.3599
"9",2.32393985041652,0.624978740867346,3.4066126248398,4.47966535292139,1.70157771856498,1.76226289108325,2.707
"10",2.40340508209556,0.542127207342072,3.4066126248398,4.37231298917431,1.68896899192311,1.72546681838757,2.707
"11",2.41839505158932,0.531706465155089,3.3901953869734,4.27323943312294,1.75835575266684,1.85773403087668,2.707
"12",2.29056504336885,0.476714804138477,3.45450118264703,4.06847953862499,1.75835575266684,1.89367898150951,2.707
"13",2.30234574591268,0.459829250248576,3.45201076964732,4.01519988009911,1.75835575266684,1.8359919623416,2.5992
"14",2.40110421724243,0.460160492344327,3.45478509752489,4.0559289110245,1.813567172183,1.80503875540712,2.541
"15",2.40245927347807,0.496672894856421,3.45478509752489,4.05272076486267,1.81040210664309,1.81606874840856,2.541
"16",2.53115294140651,0.444119067470743,3.48518221549635,3.98051526916153,1.8812008601985,1.7916680662108,1.4683
"17",2.59244938641852,0.418193985317238,3.66329483235066,4.05356912052291,1.78802648031423,1.7916680662108,2.9842
"18",2.66199164544554,0.418193985317238,3.63929481504434,3.99261669264711,1.65506585764077,1.78905634633434,2.9842
"19",2.67756685010627,0.485410701134385,3.54737170919493,3.89964014294311,1.66270208353379,1.79898362225906,2.5917
"20",2.68855122469864,0.473704592494819,3.54334617727879,3.94285818199995,1.66237041225373,1.86908357150959,1.4247
"21",2.68855122469864,0.514107464172295,3.5762402805983,3.88372648493591,1.63088081606101,1.78889491420804,1.8735
"22",2.69966418474565,0.490731311362399,3.46389735217255,3.72010595631177,1.71537102065095,1.72536569207437,1.8735
"23",2.61071642677164,0.568148472889366,3.46389735217255,3.68871737253763,1.80751328558018,1.74010568302931,1.3653
"24",2.61073785009127,0.505269916351669,3.46193893070652,3.77885432094977,1.80751328558018,1.74010568302931,1.3747
"25",2.62649334891668,0.505269916351669,3.52166966847635,3.79234167541706,1.77594017394788,1.74010568302931,2.1263
"26",2.62649334891668,0.565856438339493,3.23801128467062,3.79234167541706,1.79938250073012,1.844696901152,0.4581
"27",2.61560139165094,0.664335448905602,3.30846604321116,3.80080669057865,1.63077862456596,1.844696901152,0.4581
"28",2.72459244723005,0.633267516006188,3.24454369081317,3.70763724952984,1.70110844170083,1.74789320917932,1.7148
"29",2.64111280794118,0.723066849617898,3.19180081371577,3.7844517254219,1.6260112351298,1.78348048948654,2.4333
"30",2.60930470811772,0.586620895128884,3.10946625326933,3.80692689859876,1.59984393016539,1.76454999023257,2.4333
"31",2.68844276881682,0.607175557944767,3.19168491854934,3.82505337118662,1.59984393016539,1.68171669951618,2.4333
"32",2.7907686840033,0.607175557944767,3.10768375929313,3.91108410385691,1.54157559071063,1.60185198473649,2.9425
"33",2.7907686840033,0.495096680321824,3.11402002265308,3.84459664139601,1.54157559071063,1.58388646302882,1.4692
"34",2.741357305981,0.495096680321824,3.11402002265308,3.87974252443946,1.43746754891924,1.58215276553934,2.8912
"35",2.741357305981,0.475505100231825,3.06103180303223,3.80485815502474,1.43881667480283,1.65126785866771,1.0973
"36",2.66285588575203,0.383454671825993,2.97281723116646,3.80485815502474,1.36986898544765,1.69880378422967,1.4654
"37",2.67279547951281,0.383454671825993,2.96596687751109,4.01717691296088,1.38609329233745,1.90962433174721,1.2116
"38",2.76460583219002,0.335002732748061,2.96596687751109,4.01383635539404,1.35518018959401,1.90962433174721,2.5642
"39",2.6627991063883,0.335002732748061,2.94906811558462,4.19621018292307,1.38164282391338,1.96112925248278,1.4724
"40",2.68576127887983,0.297724354682364,2.92696631069037,4.07409203330213,1.46574895450502,1.96528916280884,2.5688
"41",2.73728947436554,0.327294941338293,2.86988835593262,4.11032358979228,1.52726839587047,1.96528916280884,2.187
"42",2.73728947436554,0.208997806826261,2.87631303936384,4.15374778388616,1.80049163851315,1.90485676375573,2.4659
"43",2.73893712853571,0.284811752223005,2.78357730118129,4.17997610257167,1.74748502321529,1.90485676375573,2.7874
"44",2.61380201087999,0.267901879827142,2.6832591235123,4.23708816961051,1.88653182973892,1.84182042710744,2.2317
"45",2.61380201087999,0.309428835898929,2.72658101626992,4.26777846164181,1.8356273752438,1.93635471079412,3.5588
"46",2.61169491587112,0.18478287959788,2.69892066789685,4.4410099909908,1.90606417265777,1.93635471079412,2.1732
"47",2.65584139040113,0.127093269913028,2.70853325175089,4.46241117358169,1.90606417265777,1.91938396948816,2.0906
"48",2.73251518082417,0.175575322070149,2.61682925416643,4.43808002561492,2.013560554301,1.8633943160597,1.6346
"49",2.64410188574378,0.193909232873456,2.61682925416643,4.50040892818813,2.02763570111707,1.90557374049225,1.6346
"50",2.64410188574378,0.221396976935867,2.58473548133033,4.42568789654081,2.032267659539,1.84779898475245,1.9063
"51",2.64410188574378,0.432245229813257,2.48209512930084,4.48678365262383,2.12926228645215,1.76251166969181,2.7804
"52",2.5575908026762,0.363220271031346,2.48953367136975,4.48678365262383,2.13956297583756,1.7847239270704,2.4039
"53",2.5575908026762,0.407855400320914,2.40544052766366,4.40607848174569,2.138294411669,1.78102651002549,1.4404
